wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
Checkpoint tracker file does not exist: /home/ykwang/mtdata2/DRRO/grpo/latest_checkpointed_iteration.txt
Training from scratch
("Initial validation metrics: {'val/proxy_mean': 0.47641291548643494, "
 "'val/gold_mean': 2.041447158619121, 'val/kl': 0.0}")
step:0 - val/proxy_mean:0.47641291548643494 - val/gold_mean:2.041447158619121 - val/kl:0.0
Training Progress:   6%|▌         | 31/500 [29:37<7:27:18, 57.22s/it]
step:1 - global_seqlen/min:3386 - global_seqlen/max:3470 - global_seqlen/minmax_diff:84 - global_seqlen/balanced_min:3421 - global_seqlen/balanced_max:3435 - global_seqlen/mean:3428.0 - actor/entropy:1.8127802610397339 - perf/mfu/actor_infer:0 - actor/pg_loss:-2.6266206987202168e-09 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4830838739871979 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.411190032958984 - actor/lr:1e-05 - training/global_step:1 - training/epoch:0 - train/reward_mean:-1.6739597233827226 - critic/score/mean:-1.673959732055664 - critic/score/max:2.822371006011963 - critic/score/min:-6.517413139343262 - critic/rewards/mean:-1.673959732055664 - critic/rewards/max:2.822371006011963 - critic/rewards/min:-6.517413139343262 - critic/advantages/mean:-0.002891753800213337 - critic/advantages/max:1.733821153640747 - critic/advantages/min:-2.2835402488708496 - critic/returns/mean:-0.002891753800213337 - critic/returns/max:1.733821153640747 - critic/returns/min:-2.2835402488708496 - response_length/mean:91.375 - response_length/max:96.0 - response_length/min:41.0 - response_length/clip_ratio:0.890625 - response_length_non_aborted/mean:91.375 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:41.0 - response_length_non_aborted/clip_ratio:0.890625 - response/aborted_ratio:0.0 - prompt_length/mean:15.75 - prompt_length/max:20.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:4.6971021220088005e-05 - timing_s/agent_loop/generate_sequences/min:0.6428647629218176 - timing_s/agent_loop/generate_sequences/max:6.982173294061795 - timing_s/agent_loop/generate_sequences/mean:5.742809330755335 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:6.982173294061795 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:12.649864844977856 - timing_s/reward:0.18802737002260983 - timing_s/old_log_prob:9.611678204964846 - timing_s/adv:0.0029375130543485284 - timing_s/update_actor:35.78030054899864 - timing_s/step:58.257385751931 - timing_s/stop_profile:0.00011347292456775904 - timing_per_token_ms/gen:2.163109583614544 - timing_per_token_ms/update_actor:5.218830301779264 - timing_per_token_ms/adv:0.00042845873021419607 - perf/total_num_tokens:6856 - perf/time_per_step:58.257385751931 - perf/throughput:58.84232455258045
step:2 - global_seqlen/min:3381 - global_seqlen/max:3552 - global_seqlen/minmax_diff:171 - global_seqlen/balanced_min:3466 - global_seqlen/balanced_max:3467 - global_seqlen/mean:3466.5 - actor/entropy:1.651292324066162 - perf/mfu/actor_infer:0 - actor/pg_loss:-9.778887033462524e-09 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.5999148488044739 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.452369689941406 - actor/lr:1e-05 - training/global_step:2 - training/epoch:0 - train/reward_mean:-0.36273189110215753 - critic/score/mean:-0.36273193359375 - critic/score/max:4.826318740844727 - critic/score/min:-5.80283784866333 - critic/rewards/mean:-0.36273193359375 - critic/rewards/max:4.826318740844727 - critic/rewards/min:-5.80283784866333 - critic/advantages/mean:0.017596665769815445 - critic/advantages/max:1.5633615255355835 - critic/advantages/min:-2.0587120056152344 - critic/returns/mean:0.017596665769815445 - critic/returns/max:1.5633615255355835 - critic/returns/min:-2.0587120056152344 - response_length/mean:91.953125 - response_length/max:96.0 - response_length/min:13.0 - response_length/clip_ratio:0.9375 - response_length_non_aborted/mean:91.953125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:13.0 - response_length_non_aborted/clip_ratio:0.9375 - response/aborted_ratio:0.0 - prompt_length/mean:16.375 - prompt_length/max:25.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00011537293903529644 - timing_s/agent_loop/generate_sequences/min:0.27290485601406544 - timing_s/agent_loop/generate_sequences/max:7.169779332005419 - timing_s/agent_loop/generate_sequences/mean:6.169889640414112 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.169779332005419 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.301257369108498 - timing_s/reward:0.2107944580493495 - timing_s/old_log_prob:9.822843583999202 - timing_s/adv:0.004124016966670752 - timing_s/update_actor:35.418024729937315 - timing_s/step:58.78126094897743 - timing_s/stop_profile:0.00013261300045996904 - timing_per_token_ms/gen:2.2601966642495324 - timing_per_token_ms/update_actor:5.1086145579023965 - timing_per_token_ms/adv:0.0005948387374398892 - perf/total_num_tokens:6933 - perf/time_per_step:58.78126094897743 - perf/throughput:58.97287577768955
step:3 - global_seqlen/min:3637 - global_seqlen/max:3728 - global_seqlen/minmax_diff:91 - global_seqlen/balanced_min:3678 - global_seqlen/balanced_max:3687 - global_seqlen/mean:3682.5 - actor/entropy:2.0270392894744873 - perf/mfu/actor_infer:0 - actor/pg_loss:-1.745365807437338e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4356311559677124 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.47475814819336 - actor/lr:1e-05 - training/global_step:3 - training/epoch:0 - train/reward_mean:-1.995988551294431 - critic/score/mean:-1.9959886074066162 - critic/score/max:4.491662979125977 - critic/score/min:-6.1320343017578125 - critic/rewards/mean:-1.9959886074066162 - critic/rewards/max:4.491662979125977 - critic/rewards/min:-6.1320343017578125 - critic/advantages/mean:0.0028658949304372072 - critic/advantages/max:1.8667678833007812 - critic/advantages/min:-1.6539555788040161 - critic/returns/mean:0.0028658949304372072 - critic/returns/max:1.8667678833007812 - critic/returns/min:-1.6539555788040161 - response_length/mean:95.703125 - response_length/max:96.0 - response_length/min:77.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:95.703125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:77.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:19.375 - prompt_length/max:41.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.396210614591837e-05 - timing_s/agent_loop/generate_sequences/min:1.0540154910413548 - timing_s/agent_loop/generate_sequences/max:7.519419051008299 - timing_s/agent_loop/generate_sequences/mean:6.999726995960373 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.519419051008299 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:14 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.41227874904871 - timing_s/reward:0.2219660560367629 - timing_s/old_log_prob:9.555015073041432 - timing_s/adv:0.004017053986899555 - timing_s/update_actor:35.544910150929354 - timing_s/step:58.761677402071655 - timing_s/stop_profile:0.00011894304770976305 - timing_per_token_ms/gen:2.1897597957630546 - timing_per_token_ms/update_actor:4.826192824294549 - timing_per_token_ms/adv:0.0005454248454717657 - perf/total_num_tokens:7365 - perf/time_per_step:58.761677402071655 - perf/throughput:62.66839482479057
step:4 - global_seqlen/min:3605 - global_seqlen/max:3608 - global_seqlen/minmax_diff:3 - global_seqlen/balanced_min:3569 - global_seqlen/balanced_max:3644 - global_seqlen/mean:3606.5 - actor/entropy:1.7941678762435913 - perf/mfu/actor_infer:0 - actor/pg_loss:-1.0826624929904938e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.42911064624786377 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.489421844482422 - actor/lr:1e-05 - training/global_step:4 - training/epoch:0 - train/reward_mean:-1.164412370242644 - critic/score/mean:-1.164412498474121 - critic/score/max:5.029596328735352 - critic/score/min:-6.130315780639648 - critic/rewards/mean:-1.164412498474121 - critic/rewards/max:5.029596328735352 - critic/rewards/min:-6.130315780639648 - critic/advantages/mean:0.015466966666281223 - critic/advantages/max:1.604392409324646 - critic/advantages/min:-1.8946211338043213 - critic/returns/mean:0.015466966666281223 - critic/returns/max:1.604392409324646 - critic/returns/min:-1.8946211338043213 - response_length/mean:94.703125 - response_length/max:96.0 - response_length/min:13.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:94.703125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:13.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:18.0 - prompt_length/max:27.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.844293188303709e-05 - timing_s/agent_loop/generate_sequences/min:0.29293629503808916 - timing_s/agent_loop/generate_sequences/max:7.4523234410444275 - timing_s/agent_loop/generate_sequences/mean:6.859834630296973 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.4523234410444275 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.432380390935577 - timing_s/reward:0.20428483292926103 - timing_s/old_log_prob:9.64439972594846 - timing_s/adv:0.003990323981270194 - timing_s/update_actor:35.32030576001853 - timing_s/step:58.62794374593068 - timing_s/stop_profile:0.00011461402755230665 - timing_per_token_ms/gen:2.216198711588117 - timing_per_token_ms/update_actor:4.896756656040278 - timing_per_token_ms/adv:0.0005532128076071252 - perf/total_num_tokens:7213 - perf/time_per_step:58.62794374593068 - perf/throughput:61.51503480369503
step:5 - global_seqlen/min:3504 - global_seqlen/max:3572 - global_seqlen/minmax_diff:68 - global_seqlen/balanced_min:3527 - global_seqlen/balanced_max:3549 - global_seqlen/mean:3538.0 - actor/entropy:1.7545149326324463 - perf/mfu/actor_infer:0 - actor/pg_loss:4.5096385292708874e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.415391743183136 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.48149871826172 - actor/lr:1e-05 - training/global_step:5 - training/epoch:0 - train/reward_mean:-1.3395691040204838 - critic/score/mean:-1.339569091796875 - critic/score/max:4.867029666900635 - critic/score/min:-6.164255142211914 - critic/rewards/mean:-1.339569091796875 - critic/rewards/max:4.867029666900635 - critic/rewards/min:-6.164255142211914 - critic/advantages/mean:0.0022404207848012447 - critic/advantages/max:2.0018322467803955 - critic/advantages/min:-1.7874197959899902 - critic/returns/mean:0.0022404207848012447 - critic/returns/max:2.0018322467803955 - critic/returns/min:-1.7874197959899902 - response_length/mean:94.0625 - response_length/max:96.0 - response_length/min:46.0 - response_length/clip_ratio:0.953125 - response_length_non_aborted/mean:94.0625 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:46.0 - response_length_non_aborted/clip_ratio:0.953125 - response/aborted_ratio:0.0 - prompt_length/mean:16.5 - prompt_length/max:27.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.26729990169406e-05 - timing_s/agent_loop/generate_sequences/min:0.6484783920459449 - timing_s/agent_loop/generate_sequences/max:6.753313141991384 - timing_s/agent_loop/generate_sequences/mean:6.100391115734965 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:6.753313141991384 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:10 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:12.56208202696871 - timing_s/reward:0.20501239295117557 - timing_s/old_log_prob:9.61705557804089 - timing_s/adv:0.004097307100892067 - timing_s/update_actor:34.76580223196652 - timing_s/step:57.17797532805707 - timing_s/stop_profile:0.0001133530167862773 - timing_per_token_ms/gen:2.08672458919746 - timing_per_token_ms/update_actor:4.913199863194816 - timing_per_token_ms/adv:0.0005790428350610609 - perf/total_num_tokens:7076 - perf/time_per_step:57.17797532805707 - perf/throughput:61.876972377927366
step:6 - global_seqlen/min:3489 - global_seqlen/max:3568 - global_seqlen/minmax_diff:79 - global_seqlen/balanced_min:3506 - global_seqlen/balanced_max:3551 - global_seqlen/mean:3528.5 - actor/entropy:1.5257333517074585 - perf/mfu/actor_infer:0 - actor/pg_loss:-1.964508555829525e-10 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.3950759768486023 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.48391342163086 - actor/lr:1e-05 - training/global_step:6 - training/epoch:0 - train/reward_mean:-0.9891810570843518 - critic/score/mean:-0.9891811013221741 - critic/score/max:4.36468505859375 - critic/score/min:-6.742331504821777 - critic/rewards/mean:-0.9891811013221741 - critic/rewards/max:4.36468505859375 - critic/rewards/min:-6.742331504821777 - critic/advantages/mean:0.009366588667035103 - critic/advantages/max:1.8427757024765015 - critic/advantages/min:-2.244626522064209 - critic/returns/mean:0.009366588667035103 - critic/returns/max:1.8427757024765015 - critic/returns/min:-2.244626522064209 - response_length/mean:95.140625 - response_length/max:96.0 - response_length/min:41.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:95.140625 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:41.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:15.125 - prompt_length/max:20.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.224300108850002e-05 - timing_s/agent_loop/generate_sequences/min:0.5700317500159144 - timing_s/agent_loop/generate_sequences/max:6.737949514063075 - timing_s/agent_loop/generate_sequences/mean:5.9284644122562895 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:6.737949514063075 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:12.52838542801328 - timing_s/reward:0.19868671393487602 - timing_s/old_log_prob:9.567634152015671 - timing_s/adv:0.004377803998067975 - timing_s/update_actor:34.82174375304021 - timing_s/step:57.147353506996296 - timing_s/stop_profile:0.0001405240036547184 - timing_per_token_ms/gen:2.057544001972948 - timing_per_token_ms/update_actor:4.9343550734079935 - timing_per_token_ms/adv:0.0006203491565917493 - perf/total_num_tokens:7057 - perf/time_per_step:57.147353506996296 - perf/throughput:61.74389159715019
step:7 - global_seqlen/min:3536 - global_seqlen/max:4018 - global_seqlen/minmax_diff:482 - global_seqlen/balanced_min:3749 - global_seqlen/balanced_max:3805 - global_seqlen/mean:3777.0 - actor/entropy:1.6260749101638794 - perf/mfu/actor_infer:0 - actor/pg_loss:1.2223608791828156e-09 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4020288586616516 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.49761199951172 - actor/lr:1e-05 - training/global_step:7 - training/epoch:0 - train/reward_mean:-1.0127470882434864 - critic/score/mean:-1.0127471685409546 - critic/score/max:3.0620367527008057 - critic/score/min:-6.767518043518066 - critic/rewards/mean:-1.0127471685409546 - critic/rewards/max:3.0620367527008057 - critic/rewards/min:-6.767518043518066 - critic/advantages/mean:-0.005432277452200651 - critic/advantages/max:1.8292279243469238 - critic/advantages/min:-2.2446353435516357 - critic/returns/mean:-0.005432277452200651 - critic/returns/max:1.8292279243469238 - critic/returns/min:-2.2446353435516357 - response_length/mean:94.65625 - response_length/max:96.0 - response_length/min:10.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:94.65625 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:10.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:23.375 - prompt_length/max:44.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00011221296153962612 - timing_s/agent_loop/generate_sequences/min:0.23884747608099133 - timing_s/agent_loop/generate_sequences/max:6.652176994015463 - timing_s/agent_loop/generate_sequences/mean:5.650485973799732 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:6.652176994015463 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:12.518889377941377 - timing_s/reward:0.23772982507944107 - timing_s/old_log_prob:9.631084157037549 - timing_s/adv:0.004001753986813128 - timing_s/update_actor:34.79814556194469 - timing_s/step:57.21314494800754 - timing_s/stop_profile:0.0001189839094877243 - timing_per_token_ms/gen:2.0665053446585304 - timing_per_token_ms/update_actor:4.606585327236523 - timing_per_token_ms/adv:0.0005297529768087275 - perf/total_num_tokens:7554 - perf/time_per_step:57.21314494800754 - perf/throughput:66.01629753848263
step:8 - global_seqlen/min:3560 - global_seqlen/max:3567 - global_seqlen/minmax_diff:7 - global_seqlen/balanced_min:3538 - global_seqlen/balanced_max:3589 - global_seqlen/mean:3563.5 - actor/entropy:1.8163244724273682 - perf/mfu/actor_infer:0 - actor/pg_loss:1.4813849702477455e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.539563775062561 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.49691390991211 - actor/lr:1e-05 - training/global_step:8 - training/epoch:0 - train/reward_mean:-2.1602961362805218 - critic/score/mean:-2.1602962017059326 - critic/score/max:2.9007434844970703 - critic/score/min:-6.54762077331543 - critic/rewards/mean:-2.1602962017059326 - critic/rewards/max:2.9007434844970703 - critic/rewards/min:-6.54762077331543 - critic/advantages/mean:0.012283766642212868 - critic/advantages/max:1.8067502975463867 - critic/advantages/min:-2.048447608947754 - critic/returns/mean:0.012283766642212868 - critic/returns/max:1.8067502975463867 - critic/returns/min:-2.048447608947754 - response_length/mean:95.109375 - response_length/max:96.0 - response_length/min:39.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:95.109375 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:39.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:16.25 - prompt_length/max:22.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.569203782826662e-05 - timing_s/agent_loop/generate_sequences/min:0.6175945330178365 - timing_s/agent_loop/generate_sequences/max:7.504928578971885 - timing_s/agent_loop/generate_sequences/mean:6.9693958619645855 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.504928578971885 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.199122893973254 - timing_s/reward:0.2086543459445238 - timing_s/old_log_prob:9.575182987027802 - timing_s/adv:0.004058644990436733 - timing_s/update_actor:34.50428046006709 - timing_s/step:57.515944184036925 - timing_s/stop_profile:0.00010849290993064642 - timing_per_token_ms/gen:2.168411843925292 - timing_per_token_ms/update_actor:4.841347054871207 - timing_per_token_ms/adv:0.0005694745321224544 - perf/total_num_tokens:7127 - perf/time_per_step:57.515944184036925 - perf/throughput:61.95673305123312
step:9 - global_seqlen/min:3468 - global_seqlen/max:3509 - global_seqlen/minmax_diff:41 - global_seqlen/balanced_min:3453 - global_seqlen/balanced_max:3524 - global_seqlen/mean:3488.5 - actor/entropy:1.6978799104690552 - perf/mfu/actor_infer:0 - actor/pg_loss:-1.9615981727838516e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4250440299510956 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.498695373535156 - actor/lr:1e-05 - training/global_step:9 - training/epoch:0 - train/reward_mean:-0.6772982570109889 - critic/score/mean:-0.6772981882095337 - critic/score/max:4.531733512878418 - critic/score/min:-5.709098815917969 - critic/rewards/mean:-0.6772981882095337 - critic/rewards/max:4.531733512878418 - critic/rewards/min:-5.709098815917969 - critic/advantages/mean:0.0228562131524086 - critic/advantages/max:2.1135056018829346 - critic/advantages/min:-1.840690016746521 - critic/returns/mean:0.0228562131524086 - critic/returns/max:2.1135056018829346 - critic/returns/min:-1.840690016746521 - response_length/mean:94.515625 - response_length/max:96.0 - response_length/min:13.0 - response_length/clip_ratio:0.96875 - response_length_non_aborted/mean:94.515625 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:13.0 - response_length_non_aborted/clip_ratio:0.96875 - response/aborted_ratio:0.0 - prompt_length/mean:14.5 - prompt_length/max:24.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.0001070129219442606 - timing_s/agent_loop/generate_sequences/min:0.2587798930471763 - timing_s/agent_loop/generate_sequences/max:7.176191904000007 - timing_s/agent_loop/generate_sequences/mean:6.533516226123538 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.176191904000007 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:10 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:12.914026601007208 - timing_s/reward:0.19315089599695057 - timing_s/old_log_prob:9.55659839801956 - timing_s/adv:0.004003383917734027 - timing_s/update_actor:34.65353328699712 - timing_s/step:57.34800659609027 - timing_s/stop_profile:0.00013016397133469582 - timing_per_token_ms/gen:2.1349027278900987 - timing_per_token_ms/update_actor:4.966824320911154 - timing_per_token_ms/adv:0.0005737973223067259 - perf/total_num_tokens:6977 - perf/time_per_step:57.34800659609027 - perf/throughput:60.830361978751505
step:10 - global_seqlen/min:3512 - global_seqlen/max:3570 - global_seqlen/minmax_diff:58 - global_seqlen/balanced_min:3517 - global_seqlen/balanced_max:3565 - global_seqlen/mean:3541.0 - actor/entropy:1.876434087753296 - perf/mfu/actor_infer:0 - actor/pg_loss:7.246853783726692e-09 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.40933752059936523 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:31.187103271484375 - actor/lr:1e-05 - training/global_step:10 - training/epoch:0 - train/reward_mean:-1.238049813080579 - critic/score/mean:-1.238049864768982 - critic/score/max:5.223280429840088 - critic/score/min:-6.1862897872924805 - critic/rewards/mean:-1.238049864768982 - critic/rewards/max:5.223280429840088 - critic/rewards/min:-6.1862897872924805 - critic/advantages/mean:0.002036506310105324 - critic/advantages/max:1.6645115613937378 - critic/advantages/min:-1.9219934940338135 - critic/returns/mean:0.002036506310105324 - critic/returns/max:1.6645115613937378 - critic/returns/min:-1.9219934940338135 - response_length/mean:95.15625 - response_length/max:96.0 - response_length/min:42.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:95.15625 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:42.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:15.5 - prompt_length/max:27.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.656301699578762e-05 - timing_s/agent_loop/generate_sequences/min:0.6145447070011869 - timing_s/agent_loop/generate_sequences/max:7.479705880978145 - timing_s/agent_loop/generate_sequences/mean:6.890602737377776 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.479705880978145 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.459095980972052 - timing_s/reward:0.21454733493737876 - timing_s/old_log_prob:9.528630832093768 - timing_s/adv:0.0019897959427908063 - timing_s/update_actor:34.575821685954 - timing_s/step:57.80437432206236 - timing_s/stop_profile:0.00011746305972337723 - timing_per_token_ms/gen:2.210032180783588 - timing_per_token_ms/update_actor:4.882211477824625 - timing_per_token_ms/adv:0.0002809652559715908 - perf/total_num_tokens:7082 - perf/time_per_step:57.80437432206236 - perf/throughput:61.258339728253
