wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
Checkpoint tracker file does not exist: /home/ykwang/mtdata2/DRRO/drro_delta0.25/latest_checkpointed_iteration.txt
Training from scratch
("Initial validation metrics: {'val/proxy_mean': 0.5901941820190473, "
 "'val/gold_mean': 2.0586345523443015, 'val/kl': 0.0}")
step:0 - val/proxy_mean:0.5901941820190473 - val/gold_mean:2.0586345523443015 - val/kl:0.0
Training Progress:   6%|▌         | 31/500 [29:54<7:30:48, 57.67s/it]
step:1 - global_seqlen/min:3393 - global_seqlen/max:3412 - global_seqlen/minmax_diff:19 - global_seqlen/balanced_min:3402 - global_seqlen/balanced_max:3403 - global_seqlen/mean:3402.5 - actor/entropy:1.7041301727294922 - perf/mfu/actor_infer:0 - actor/pg_loss:2.1878804545849562e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4426887035369873 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.613994598388672 - actor/lr:1e-05 - training/global_step:1 - training/epoch:0 - train/reward_mean:-1.406957554165274 - critic/score/mean:-1.4069575071334839 - critic/score/max:3.714038133621216 - critic/score/min:-6.476077079772949 - critic/rewards/mean:-1.4069575071334839 - critic/rewards/max:3.714038133621216 - critic/rewards/min:-6.476077079772949 - critic/advantages/mean:0.02102135308086872 - critic/advantages/max:1.9639384746551514 - critic/advantages/min:-2.1386830806732178 - critic/returns/mean:0.02102135308086872 - critic/returns/max:1.9639384746551514 - critic/returns/min:-2.1386830806732178 - response_length/mean:90.578125 - response_length/max:96.0 - response_length/min:2.0 - response_length/clip_ratio:0.921875 - response_length_non_aborted/mean:90.578125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:2.0 - response_length_non_aborted/clip_ratio:0.921875 - response/aborted_ratio:0.0 - prompt_length/mean:15.75 - prompt_length/max:20.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:5.104101728647947e-05 - timing_s/agent_loop/generate_sequences/min:0.10443417099304497 - timing_s/agent_loop/generate_sequences/max:6.964863862027414 - timing_s/agent_loop/generate_sequences/mean:5.680385921155903 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:6.964863862027414 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.614033169928007 - timing_s/reward:0.18374612799379975 - timing_s/old_log_prob:9.453132004011422 - timing_s/adv:0.00429625203832984 - timing_s/update_actor:34.62064302095678 - timing_s/step:57.9001080050366 - timing_s/stop_profile:0.00010910304263234138 - timing_per_token_ms/gen:2.348461819894429 - timing_per_token_ms/adv:0.0006313375515547156 - timing_per_token_ms/update_actor:5.0875302014631565 - perf/total_num_tokens:6805 - perf/time_per_step:57.9001080050366 - perf/throughput:58.76500264393331
step:2 - global_seqlen/min:3552 - global_seqlen/max:3586 - global_seqlen/minmax_diff:34 - global_seqlen/balanced_min:3544 - global_seqlen/balanced_max:3594 - global_seqlen/mean:3569.0 - actor/entropy:1.679097056388855 - perf/mfu/actor_infer:0 - actor/pg_loss:-2.8318027034401894e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.3648344874382019 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.65038299560547 - actor/lr:1e-05 - training/global_step:2 - training/epoch:0 - train/reward_mean:-0.6635999394347891 - critic/score/mean:-0.6635999083518982 - critic/score/max:4.105735778808594 - critic/score/min:-6.223574638366699 - critic/rewards/mean:-0.6635999083518982 - critic/rewards/max:4.105735778808594 - critic/rewards/min:-6.223574638366699 - critic/advantages/mean:0.00907302275300026 - critic/advantages/max:1.6559804677963257 - critic/advantages/min:-2.274014472961426 - critic/returns/mean:0.00907302275300026 - critic/returns/max:1.6559804677963257 - critic/returns/min:-2.274014472961426 - response_length/mean:95.15625 - response_length/max:96.0 - response_length/min:42.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:95.15625 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:42.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:16.375 - prompt_length/max:25.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00013355398550629616 - timing_s/agent_loop/generate_sequences/min:0.6323159720050171 - timing_s/agent_loop/generate_sequences/max:7.436334197060205 - timing_s/agent_loop/generate_sequences/mean:6.829532463021678 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.436334197060205 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.994020511978306 - timing_s/reward:0.21281054592691362 - timing_s/old_log_prob:9.500334726995789 - timing_s/adv:0.0020061070099473 - timing_s/update_actor:34.57031417905819 - timing_s/step:58.30730710201897 - timing_s/stop_profile:0.0001089639263227582 - timing_per_token_ms/gen:2.2978687211787037 - timing_per_token_ms/adv:0.00028104609273568227 - timing_per_token_ms/update_actor:4.843137318444689 - perf/total_num_tokens:7138 - perf/time_per_step:58.30730710201897 - perf/throughput:61.210166913649466
step:3 - global_seqlen/min:3645 - global_seqlen/max:3656 - global_seqlen/minmax_diff:11 - global_seqlen/balanced_min:3609 - global_seqlen/balanced_max:3692 - global_seqlen/mean:3650.5 - actor/entropy:1.8135920763015747 - perf/mfu/actor_infer:0 - actor/pg_loss:-3.3527612686157227e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4167867600917816 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.662429809570312 - actor/lr:1e-05 - training/global_step:3 - training/epoch:0 - train/reward_mean:-1.3000373817048967 - critic/score/mean:-1.3000373840332031 - critic/score/max:5.121772289276123 - critic/score/min:-5.878986358642578 - critic/rewards/mean:-1.3000373840332031 - critic/rewards/max:5.121772289276123 - critic/rewards/min:-5.878986358642578 - critic/advantages/mean:-0.0074839163571596146 - critic/advantages/max:2.3849518299102783 - critic/advantages/min:-1.6876693964004517 - critic/returns/mean:-0.0074839163571596146 - critic/returns/max:2.3849518299102783 - critic/returns/min:-1.6876693964004517 - response_length/mean:94.703125 - response_length/max:96.0 - response_length/min:13.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:94.703125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:13.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:19.375 - prompt_length/max:41.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.234195411205292e-05 - timing_s/agent_loop/generate_sequences/min:0.24594126804731786 - timing_s/agent_loop/generate_sequences/max:7.4274054820416495 - timing_s/agent_loop/generate_sequences/mean:6.936274635279915 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.4274054820416495 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:14.222082371008582 - timing_s/reward:0.21925909002311528 - timing_s/old_log_prob:9.549258118961006 - timing_s/adv:0.002090600086376071 - timing_s/update_actor:34.30086942308117 - timing_s/step:58.31778881000355 - timing_s/stop_profile:6.28120033070445e-05 - timing_per_token_ms/gen:2.3464910692969116 - timing_per_token_ms/adv:0.0002863443482229929 - timing_per_token_ms/update_actor:4.698105659920719 - perf/total_num_tokens:7301 - perf/time_per_step:58.31778881000355 - perf/throughput:62.59668060963606
step:4 - global_seqlen/min:3608 - global_seqlen/max:3688 - global_seqlen/minmax_diff:80 - global_seqlen/balanced_min:3648 - global_seqlen/balanced_max:3648 - global_seqlen/mean:3648.0 - actor/entropy:1.8340924978256226 - perf/mfu/actor_infer:0 - actor/pg_loss:-3.8278813008219004e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4311544895172119 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.68726348876953 - actor/lr:1e-05 - training/global_step:4 - training/epoch:0 - train/reward_mean:-0.9368354213074781 - critic/score/mean:-0.9368354082107544 - critic/score/max:4.649860382080078 - critic/score/min:-6.870991230010986 - critic/rewards/mean:-0.9368354082107544 - critic/rewards/max:4.649860382080078 - critic/rewards/min:-6.870991230010986 - critic/advantages/mean:3.476937493473997e-08 - critic/advantages/max:1.5608844757080078 - critic/advantages/min:-2.038285732269287 - critic/returns/mean:3.476937493473997e-08 - critic/returns/max:1.5608844757080078 - critic/returns/min:-2.038285732269287 - response_length/mean:96.0 - response_length/max:96.0 - response_length/min:96.0 - response_length/clip_ratio:1.0 - response_length_non_aborted/mean:96.0 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:96.0 - response_length_non_aborted/clip_ratio:1.0 - response/aborted_ratio:0.0 - prompt_length/mean:18.0 - prompt_length/max:27.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:3.986095543950796e-05 - timing_s/agent_loop/generate_sequences/min:1.6388487130170688 - timing_s/agent_loop/generate_sequences/max:7.538159674033523 - timing_s/agent_loop/generate_sequences/mean:7.048944458028927 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.538159674033523 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:14.318544536014087 - timing_s/reward:0.1907849289709702 - timing_s/old_log_prob:9.508137568947859 - timing_s/adv:0.0040540649788454175 - timing_s/update_actor:34.622117112972774 - timing_s/step:58.655198902008124 - timing_s/stop_profile:0.00012261397205293179 - timing_per_token_ms/gen:2.3304922747418764 - timing_per_token_ms/adv:0.0005556558359163127 - timing_per_token_ms/update_actor:4.74535596394912 - perf/total_num_tokens:7296 - perf/time_per_step:58.655198902008124 - perf/throughput:62.1939754410262
step:5 - global_seqlen/min:3536 - global_seqlen/max:3592 - global_seqlen/minmax_diff:56 - global_seqlen/balanced_min:3532 - global_seqlen/balanced_max:3596 - global_seqlen/mean:3564.0 - actor/entropy:1.7186657190322876 - perf/mfu/actor_infer:0 - actor/pg_loss:-7.741618901491165e-09 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.39884334802627563 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.698673248291016 - actor/lr:1e-05 - training/global_step:5 - training/epoch:0 - train/reward_mean:-0.7199344827095047 - critic/score/mean:-0.7199344635009766 - critic/score/max:4.847975730895996 - critic/score/min:-5.572639465332031 - critic/rewards/mean:-0.7199344635009766 - critic/rewards/max:4.847975730895996 - critic/rewards/min:-5.572639465332031 - critic/advantages/mean:0.00883838813751936 - critic/advantages/max:2.0843563079833984 - critic/advantages/min:-2.100053548812866 - critic/returns/mean:0.00883838813751936 - critic/returns/max:2.0843563079833984 - critic/returns/min:-2.100053548812866 - response_length/mean:94.875 - response_length/max:96.0 - response_length/min:24.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:94.875 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:24.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:16.5 - prompt_length/max:27.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00011576293036341667 - timing_s/agent_loop/generate_sequences/min:0.3901096300687641 - timing_s/agent_loop/generate_sequences/max:7.384872712078504 - timing_s/agent_loop/generate_sequences/mean:6.833376813328869 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.384872712078504 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:10 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:14.143983928952366 - timing_s/reward:0.20542753499466926 - timing_s/old_log_prob:9.490772604942322 - timing_s/adv:0.004149848013184965 - timing_s/update_actor:34.45738157606684 - timing_s/step:58.32480506005231 - timing_s/stop_profile:0.0001096230698749423 - timing_per_token_ms/gen:2.3293781174163977 - timing_per_token_ms/adv:0.0005821896763727503 - timing_per_token_ms/update_actor:4.834088324364035 - perf/total_num_tokens:7128 - perf/time_per_step:58.32480506005231 - perf/throughput:61.10607650262077
step:6 - global_seqlen/min:3461 - global_seqlen/max:3491 - global_seqlen/minmax_diff:30 - global_seqlen/balanced_min:3474 - global_seqlen/balanced_max:3478 - global_seqlen/mean:3476.0 - actor/entropy:1.5268360376358032 - perf/mfu/actor_infer:0 - actor/pg_loss:-2.1740561351180077e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.45919451117515564 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.6995849609375 - actor/lr:1e-05 - training/global_step:6 - training/epoch:0 - train/reward_mean:-0.4572462213691324 - critic/score/mean:-0.4572463035583496 - critic/score/max:3.4846370220184326 - critic/score/min:-5.647294998168945 - critic/rewards/mean:-0.4572463035583496 - critic/rewards/max:3.4846370220184326 - critic/rewards/min:-5.647294998168945 - critic/advantages/mean:0.027774089947342873 - critic/advantages/max:1.5904572010040283 - critic/advantages/min:-2.334951162338257 - critic/returns/mean:0.027774089947342873 - critic/returns/max:1.5904572010040283 - critic/returns/min:-2.334951162338257 - response_length/mean:93.5 - response_length/max:96.0 - response_length/min:13.0 - response_length/clip_ratio:0.953125 - response_length_non_aborted/mean:93.5 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:13.0 - response_length_non_aborted/clip_ratio:0.953125 - response/aborted_ratio:0.0 - prompt_length/mean:15.125 - prompt_length/max:20.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.566200267523527e-05 - timing_s/agent_loop/generate_sequences/min:0.2677356780041009 - timing_s/agent_loop/generate_sequences/max:7.339062799001113 - timing_s/agent_loop/generate_sequences/mean:6.594660370825295 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.339062799001113 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:14.03372525202576 - timing_s/reward:0.20272014802321792 - timing_s/old_log_prob:9.503079425077885 - timing_s/adv:0.004363993997685611 - timing_s/update_actor:34.10869666398503 - timing_s/step:57.87517895596102 - timing_s/stop_profile:0.00013946404214948416 - timing_per_token_ms/gen:2.3452080969294387 - timing_per_token_ms/adv:0.0006277321630733043 - timing_per_token_ms/update_actor:4.906314249710159 - perf/total_num_tokens:6952 - perf/time_per_step:57.87517895596102 - perf/throughput:60.06028944886709
step:7 - global_seqlen/min:3536 - global_seqlen/max:4088 - global_seqlen/minmax_diff:552 - global_seqlen/balanced_min:3812 - global_seqlen/balanced_max:3812 - global_seqlen/mean:3812.0 - actor/entropy:1.598252534866333 - perf/mfu/actor_infer:0 - actor/pg_loss:-4.968569555785507e-09 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.3685683310031891 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.70718765258789 - actor/lr:1e-05 - training/global_step:7 - training/epoch:0 - train/reward_mean:-0.8666671188548207 - critic/score/mean:-0.8666670918464661 - critic/score/max:3.2229151725769043 - critic/score/min:-6.01782751083374 - critic/rewards/mean:-0.8666670918464661 - critic/rewards/max:3.2229151725769043 - critic/rewards/min:-6.01782751083374 - critic/advantages/mean:0.003539490746334195 - critic/advantages/max:1.8861202001571655 - critic/advantages/min:-1.9588433504104614 - critic/returns/mean:0.003539490746334195 - critic/returns/max:1.8861202001571655 - critic/returns/min:-1.9588433504104614 - response_length/mean:95.75 - response_length/max:96.0 - response_length/min:80.0 - response_length/clip_ratio:0.984375 - response_length_non_aborted/mean:95.75 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:80.0 - response_length_non_aborted/clip_ratio:0.984375 - response/aborted_ratio:0.0 - prompt_length/mean:23.375 - prompt_length/max:44.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.17420256882906e-05 - timing_s/agent_loop/generate_sequences/min:1.1052529190201312 - timing_s/agent_loop/generate_sequences/max:7.201642069034278 - timing_s/agent_loop/generate_sequences/mean:6.421601486204963 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.201642069034278 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.406914785970002 - timing_s/reward:0.21895884000696242 - timing_s/old_log_prob:9.490374763030559 - timing_s/adv:0.0019070940325036645 - timing_s/update_actor:34.39679076196626 - timing_s/step:57.52567368093878 - timing_s/stop_profile:6.4491992816329e-05 - timing_per_token_ms/gen:2.1878124650734336 - timing_per_token_ms/adv:0.00025014349849208613 - timing_per_token_ms/update_actor:4.511646217466718 - perf/total_num_tokens:7624 - perf/time_per_step:57.52567368093878 - perf/throughput:66.2660644557234
step:8 - global_seqlen/min:3524 - global_seqlen/max:3564 - global_seqlen/minmax_diff:40 - global_seqlen/balanced_min:3540 - global_seqlen/balanced_max:3548 - global_seqlen/mean:3544.0 - actor/entropy:1.9508248567581177 - perf/mfu/actor_infer:0 - actor/pg_loss:-3.0850060284137726e-09 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.4376523792743683 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.718517303466797 - actor/lr:1e-05 - training/global_step:8 - training/epoch:0 - train/reward_mean:-2.390094885660801 - critic/score/mean:-2.3900949954986572 - critic/score/max:3.6563353538513184 - critic/score/min:-6.275317192077637 - critic/rewards/mean:-2.3900949954986572 - critic/rewards/max:3.6563353538513184 - critic/rewards/min:-6.275317192077637 - critic/advantages/mean:0.011761500500142574 - critic/advantages/max:1.933361291885376 - critic/advantages/min:-1.5546220541000366 - critic/returns/mean:0.011761500500142574 - critic/returns/max:1.933361291885376 - critic/returns/min:-1.5546220541000366 - response_length/mean:94.5 - response_length/max:96.0 - response_length/min:36.0 - response_length/clip_ratio:0.96875 - response_length_non_aborted/mean:94.5 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:36.0 - response_length_non_aborted/clip_ratio:0.96875 - response/aborted_ratio:0.0 - prompt_length/mean:16.25 - prompt_length/max:22.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:4.938209895044565e-05 - timing_s/agent_loop/generate_sequences/min:0.5522189429029822 - timing_s/agent_loop/generate_sequences/max:7.57917418202851 - timing_s/agent_loop/generate_sequences/mean:7.118414910193678 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.57917418202851 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.836918741930276 - timing_s/reward:0.199260578956455 - timing_s/old_log_prob:9.411697725066915 - timing_s/adv:0.003971872967667878 - timing_s/update_actor:34.31368725700304 - timing_s/step:57.78376926505007 - timing_s/stop_profile:0.0001056829933077097 - timing_per_token_ms/gen:2.287850321086355 - timing_per_token_ms/adv:0.0005603658250095764 - timing_per_token_ms/update_actor:4.841095831969954 - perf/total_num_tokens:7088 - perf/time_per_step:57.78376926505007 - perf/throughput:61.33210147202274
step:9 - global_seqlen/min:3480 - global_seqlen/max:3592 - global_seqlen/minmax_diff:112 - global_seqlen/balanced_min:3536 - global_seqlen/balanced_max:3536 - global_seqlen/mean:3536.0 - actor/entropy:1.80341374874115 - perf/mfu/actor_infer:0 - actor/pg_loss:1.0264557204209268e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.36066997051239014 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.720264434814453 - actor/lr:1e-05 - training/global_step:9 - training/epoch:0 - train/reward_mean:-0.6865124635514803 - critic/score/mean:-0.6865124702453613 - critic/score/max:5.118361473083496 - critic/score/min:-6.13842248916626 - critic/rewards/mean:-0.6865124702453613 - critic/rewards/max:5.118361473083496 - critic/rewards/min:-6.13842248916626 - critic/advantages/mean:-1.614292521878724e-08 - critic/advantages/max:1.6564176082611084 - critic/advantages/min:-2.203272819519043 - critic/returns/mean:-1.614292521878724e-08 - critic/returns/max:1.6564176082611084 - critic/returns/min:-2.203272819519043 - response_length/mean:96.0 - response_length/max:96.0 - response_length/min:96.0 - response_length/clip_ratio:1.0 - response_length_non_aborted/mean:96.0 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:96.0 - response_length_non_aborted/clip_ratio:1.0 - response/aborted_ratio:0.0 - prompt_length/mean:14.5 - prompt_length/max:24.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:4.3241074308753014e-05 - timing_s/agent_loop/generate_sequences/min:2.3213596530258656 - timing_s/agent_loop/generate_sequences/max:7.527529802056961 - timing_s/agent_loop/generate_sequences/mean:7.007935315958093 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.527529802056961 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.87030838103965 - timing_s/reward:0.19130531407427043 - timing_s/old_log_prob:9.457269130973145 - timing_s/adv:0.004259901004843414 - timing_s/update_actor:34.39805374795105 - timing_s/step:57.94320658198558 - timing_s/stop_profile:0.00013999396469444036 - timing_per_token_ms/gen:2.2575371713931722 - timing_per_token_ms/adv:0.0006023615674269533 - timing_per_token_ms/update_actor:4.863978188341495 - perf/total_num_tokens:7072 - perf/time_per_step:57.94320658198558 - perf/throughput:61.02527299722026
step:10 - global_seqlen/min:3375 - global_seqlen/max:3624 - global_seqlen/minmax_diff:249 - global_seqlen/balanced_min:3487 - global_seqlen/balanced_max:3512 - global_seqlen/mean:3499.5 - actor/entropy:1.7503982782363892 - perf/mfu/actor_infer:0 - actor/pg_loss:1.05355866253376e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.49017834663391113 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:28.72330093383789 - actor/lr:1e-05 - training/global_step:10 - training/epoch:0 - train/reward_mean:-0.8803050625137985 - critic/score/mean:-0.8803050518035889 - critic/score/max:5.191117286682129 - critic/score/min:-6.0038347244262695 - critic/rewards/mean:-0.8803050518035889 - critic/rewards/max:5.191117286682129 - critic/rewards/min:-6.0038347244262695 - critic/advantages/mean:0.023162348195910454 - critic/advantages/max:1.8269741535186768 - critic/advantages/min:-2.4199352264404297 - critic/returns/mean:0.023162348195910454 - critic/returns/max:1.8269741535186768 - critic/returns/min:-2.4199352264404297 - response_length/mean:93.859375 - response_length/max:96.0 - response_length/min:13.0 - response_length/clip_ratio:0.96875 - response_length_non_aborted/mean:93.859375 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:13.0 - response_length_non_aborted/clip_ratio:0.96875 - response/aborted_ratio:0.0 - prompt_length/mean:15.5 - prompt_length/max:27.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.434204548597336e-05 - timing_s/agent_loop/generate_sequences/min:0.258093103999272 - timing_s/agent_loop/generate_sequences/max:7.2532861980143934 - timing_s/agent_loop/generate_sequences/mean:6.436260132746611 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:7.2532861980143934 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:13.72892475896515 - timing_s/reward:0.1974335080012679 - timing_s/old_log_prob:9.516144147026353 - timing_s/adv:0.0038911999436095357 - timing_s/update_actor:34.36696702300105 - timing_s/step:57.824853353900835 - timing_s/stop_profile:0.00012390303891152143 - timing_per_token_ms/gen:2.2854877241493505 - timing_per_token_ms/adv:0.0005559651298199079 - timing_per_token_ms/update_actor:4.910268184455073 - perf/total_num_tokens:6999 - perf/time_per_step:57.824853353900835 - perf/throughput:60.51896022255845
